startup_id,company_age_years,founder_count,employees_size_numeric,funding_rounds,investor_count,total_funding_usd,funding_per_round,employee_size_category,city,state,primary_industry,startup_stage,launch_year,last_funding_date,success_label,success_score,risk_level,estimated_revenue_usd,growth_rate_percent,is_active
ST_00001,14.224723080659986,2,2,5,9,8474711892.703908,1694942378.5407815,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2009,2025-09-09,Low,29,High Risk,56999.84948204231,39.08144315945107,True
ST_00002,3.3500821707979638,1,2,5,8,39643911383.36932,7928782276.673864,Small (1-10),Bengaluru,Karnataka,E-commerce,Scale Stage,2020,2025-10-08,Low,26,High Risk,141499.49866739314,34.16182191076575,True
ST_00003,5.160626997390509,2,2,6,15,1193222423.3029048,198870403.88381746,Small (1-10),Bengaluru,Karnataka,SaaS,Scale Stage,2018,2023-12-02,Low,43,High Risk,109232.22772633545,15.272086115131334,True
ST_00004,5.630682494349691,3,2,8,14,14585189696.847334,1823148712.1059167,Small (1-10),Bengaluru,Karnataka,FinTech,Scale Stage,2018,2025-10-12,Low,29,High Risk,115900.47527986551,12.060172081738866,True
ST_00005,15.0,1,2,8,12,4999706005.757348,624963250.7196685,Small (1-10),Pune,Maharashtra,EdTech,Scale Stage,2009,2025-03-20,Low,28,High Risk,95717.18872370436,10.76295486000296,True
ST_00006,13.92278059268412,2,2,7,12,3123954924.941822,446279274.99168885,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2010,2025-12-02,Low,21,High Risk,129640.18749757047,20.672410760058206,True
ST_00007,6.681729374214085,1,2,8,13,39806337854.759735,4975792231.844967,Small (1-10),Pune,Maharashtra,EdTech,Scale Stage,2017,2025-12-30,Low,42,High Risk,131217.19607413487,29.352453977077875,True
ST_00008,10.982932926889442,2,2,8,12,14346610455.434021,1793326306.9292526,Small (1-10),Delhi NCR,Delhi,FinTech,Scale Stage,2013,2025-05-18,Low,27,High Risk,177383.5115741267,28.01645123051202,True
ST_00009,9.113165728807402,1,2,8,14,5378802942.580831,672350367.8226038,Small (1-10),Ahmedabad,Gujarat,E-commerce,Scale Stage,2014,2024-02-13,Low,39,High Risk,94167.33381043785,18.478420501067383,True
ST_00010,15.0,1,2,8,19,8460215253.647485,1057526906.7059356,Small (1-10),Mumbai,Maharashtra,Media,Scale Stage,2009,2025-10-09,Low,41,High Risk,99222.9001212098,10.426456585471048,False
ST_00011,11.551938411606438,1,2,8,11,962537493.3351616,120317186.6668952,Small (1-10),Hyderabad,Telangana,AI/ML,Scale Stage,2012,2026-01-16,Low,40,High Risk,62130.94499257965,19.99100662290377,True
ST_00012,3.1982164376312676,1,2,2,8,10046419052.83739,5023209526.418695,Small (1-10),Delhi NCR,Delhi,Logistics,Growth Stage,2020,2025-05-10,Low,44,High Risk,101281.95000746023,27.34392526507535,True
ST_00013,15.0,3,2,8,15,1958224747.8962529,244778093.4870316,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2009,2026-01-03,Low,22,High Risk,100483.13223330898,27.950292238325975,True
ST_00014,6.940169458621082,2,2,8,13,5793983345.536555,724247918.1920694,Small (1-10),Hyderabad,Telangana,SaaS,Scale Stage,2017,2026-01-01,Low,36,High Risk,130149.12102958451,22.37964167390772,True
ST_00015,7.412452134611048,1,2,8,15,10126898462.831425,1265862307.853928,Small (1-10),Pune,Maharashtra,Manufacturing,Scale Stage,2016,2025-12-24,Low,29,High Risk,175544.58113560607,35.34040468587945,True
ST_00016,15.0,1,2,8,12,5186720144.630296,648340018.078787,Small (1-10),Bengaluru,Karnataka,AI/ML,Scale Stage,2009,2025-09-29,Low,45,High Risk,161146.07913660025,31.85181985880001,True
ST_00017,15.0,1,2,8,12,3628575051.7576013,453571881.46970016,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2009,2025-07-27,Low,41,High Risk,107630.274706883,30.798524704505674,True
ST_00018,7.5628214893819425,1,2,7,9,4074924217.703608,582132031.1005155,Small (1-10),Mumbai,Maharashtra,FinTech,Scale Stage,2016,2025-06-27,Low,48,High Risk,69977.76878356245,7.66701328597071,False
ST_00019,15.0,1,2,8,9,12309135209.500486,1538641901.1875608,Small (1-10),Hyderabad,Telangana,SaaS,Scale Stage,2009,2025-08-28,Low,24,High Risk,158918.12661077722,31.497842071485955,True
